text,stars
"Absolutely terrible. It broke after two days and support never replied.",1
"Worst purchase I've ever made, complete waste of money.",1
"Stopped working within a week, totally unusable, do not buy.",1
"Garbage quality, fell apart almost immediately, very disappointed.",1
"Awful experience, the product arrived damaged and customer service ignored me.",1
"Not great, several issues and the build quality feels cheap.",2
"Disappointed with this, it barely does what was advertised.",2
"Below average, had to return it because it didn't fit properly.",2
"Mediocre at best, wouldn't recommend it to a friend.",2
"It works but feels flimsy and the instructions were confusing.",2
"It's okay, does the job but nothing special.",3
"Average product, met basic expectations but nothing more.",3
"Decent for the price, though I expected a bit more durability.",3
"Works fine so far, will update if anything changes.",3
"Reasonable quality, a few minor flaws but acceptable overall.",3
"Pretty good, works as described and arrived on time.",4
"Happy with this purchase, solid build and good value.",4
"Good product overall, minor issue but support resolved it quickly.",4
"Nice quality for the price, would consider buying again.",4
"Works well, comfortable to use and looks nice too.",4
"Excellent product, exceeded my expectations in every way.",5
"Absolutely love this, perfect quality and fast shipping.",5
"Best purchase this year, works flawlessly and looks great.",5
"Outstanding build quality and the customer service was fantastic.",5
"Fantastic value for money, highly recommend to everyone.",5
"This is a really good app, helps with all my testing and works great.",4
"I am thrilled to use this new hair dryer, feels light in hands and fast.",5
"Excellent bike, has two wheels and brakes work flawlessly.",5
"The software update completely broke the integration, very disappointed.",1
"Absolutely terrible. It broke after two days and support never replied.",1
"Worst purchase I've ever made, complete waste of money and time.",1
"Stopped working within a week, totally unusable, do not buy this garbage.",1
"Garbage quality, fell apart almost immediately, very disappointed.",1
"Awful experience, the product arrived damaged and customer service ignored me.",1
"Not great, several issues and the build quality feels cheap and flimsy.",2
"Disappointed with this, it barely does what was advertised on the box.",2
"Below average, had to return it because it didn't fit properly at all.",2
"Mediocre at best, wouldn't recommend it to a friend or family.",2
"It works but feels cheap and the instructions were extremely confusing.",2
"It's okay, does the job but nothing special or groundbreaking.",3
"Average product, met basic expectations but nothing more than that.",3
"Decent for the price, though I expected a bit more durability over time.",3
"Works fine so far, will update this review if anything changes.",3
"Reasonable quality, a few minor flaws but acceptable overall for daily use.",3
"Pretty good, works as described and arrived on time in perfect condition.",4
"Happy with this purchase, solid build and really good value for money.",4
"Good product overall, minor issue but support resolved it quickly.",4
"Nice quality for the price, would definitely consider buying again.",4
"Works well, comfortable to use, looks nice and premium too.",4
"Excellent product, exceeded my expectations in every possible way.",5
"Absolutely love this, perfect quality, amazing design and fast shipping.",5
"Best purchase this year, works flawlessly, looks great and highly functional.",5
"Outstanding build quality and the customer service was fantastic and helpful.",5
"Fantastic value for money, highly recommend to everyone looking for quality.",5